"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Offering Details","Additional Offering Information"
"COMPSCI","302","Electrical Engineering and Computer Sciences","Designing Computer Science Education","3","3","-","Discussion and review of research and practice relating to the teaching of computer science: knowledge organization and misconceptions, curriculum and topic organization, evaluation, collaborative learning, technology use, and administrative issues. As part of a semester-long project to design a computer science course, participants invent and refine a variety of homework and exam activities, and evaluate alternatives for textbooks, grading and other administrative policies, and innovative uses of technology. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","365","Electrical Engineering and Computer Sciences","Introduction to Instructional Methods in Computer Science for Academic Interns","2","4","-","This is a course for aspiring Academic Interns (AIs). It provides pedagogical training and guidance to students by introducing them to the Big Ideas of Teaching and Learning, and how to put them into practice. The course covers what makes a safe learning environment, how students learn, how to guide students toward mastery, and psychosocial factors that can negatively affect even the best students and best teachers. Class covers both theoretical and practical pedagogical aspects of teaching STEM subjects—specifically Computer Science. An integral feature of the course lies in the weekly AI experience that students perform to practice their teaching skills.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","370","Electrical Engineering and Computer Sciences","Adaptive Instruction Methods in Computer Science","3","3","-","This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","375","Electrical Engineering and Computer Sciences","Teaching Techniques for Computer Science","2","2","-","Discussion and practice of techniques for effective teaching, focusing on issues most relevant to teaching assistants in computer science courses. ","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","399","Electrical Engineering and Computer Sciences","Professional Preparation: Supervised Teaching of Computer Science","1","2","-","Discussion, problem review and development, guidance of computer science laboratory sections, course development, supervised practice teaching.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","602","Electrical Engineering and Computer Sciences","Individual Study for Doctoral Students","1","8","-","Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. (and other doctoral degrees).","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","C8","Electrical Engineering and Computer Sciences","Foundations of Data Science","4","4","-","Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.","DATAC8 FOUNDATION DATA SCI, STATC8 FOUNDATION DATA SCI, INFOC8 FOUNDATION DATA SCI","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C88C","Electrical Engineering and Computer Sciences","Computational Structures in Data Science","3","3","-","Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding  the structures that underlie the programs, algorithms, and languages used in data science and elsewhere.   Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.","DATAC88C CS STRUCT DATA SCI","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C100","Electrical Engineering and Computer Sciences","Principles & Techniques of Data Science","4","4","-","In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine learning methods including regression, classification and clustering; principles behind creating informative data visualizations; statistical concepts of measurement error and prediction; and techniques for scalable data processing.","STATC100 PRINC&TECH DATA SCI, DATAC100 PRINC&TECH DATA SCI","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C176","Electrical Engineering and Computer Sciences","Algorithms for Computational Biology","4","4","-","This course will provide familiarity with algorithms and probabilistic models that arise in various computational biology applications, such as suffix trees, suffix arrays, pattern matching, repeat finding, sequence alignment, phylogenetics, hidden Markov models, gene finding, motif finding, linear/logistic regression, random forests, convolutional neural networks, genome-wide association studies, pathogenicity prediction, and sequence-to-epigenome prediction.","CMPBIOC176 ALGO FOR COMP BIO","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C177","Electrical Engineering and Computer Sciences","Algorithmic Economics","4","4","-","The class provides an introduction to algorithmic questions in economic design. The class will cover problems of public goods and social choice, as well as allocative questions and private consumption. The focus is on normative questions: From the perspective of social goals, these are efficiency, fairness, and equity. In terms of private goals, the focus is on revenue maximization. The course will cover voting, fair division, pricing and market mechanisms. There is an emphasis on the algorithmic questions that arise naturally in economic design.","ECONC147 ALGORITHMIC ECON","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C182","Electrical Engineering and Computer Sciences","Designing, Visualizing and Understanding Deep Neural Networks","4","4","-","Deep Networks have revolutionized computer vision, language technology, robotics and control. They have growing impact in many other areas of science and engineering. They do not however, follow a closed or compact set of theoretical principles. In Yann Lecun's words they require ""an interplay between intuitive insights, theoretical modeling, 
practical implementations, empirical studies, and scientific analyses."" This course attempts to cover that ground.","DATAC182 NEURAL NETWORKS","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C187","Electrical Engineering and Computer Sciences","Data Engineering","4","4","-","This course will cover the principles and practices of managing data at scale, with a focus on use cases in data analysis and machine learning. We will cover the entire life cycle of data management and science, ranging from data preparation to exploration, visualization and analysis, to machine learning and collaboration, with a focus on ensuring reliable, scalable operationalization.
","DATAC101 DATA ENGINEERING","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C191","Electrical Engineering and Computer Sciences","Introduction to Quantum Computing","4","4","-","This multidisciplinary course provides an introduction to fundamental conceptual aspects of quantum mechanics from a computational and informational theoretic perspective, as well as physical implementations and technological applications of quantum information science. Basic sections of quantum algorithms, complexity, and cryptography, will be touched upon, as well as pertinent physical realizations from nanoscale science and engineering. ","CHEMC191 INTRO QUANTUM COMP, PHYSICSC191 INTRO QUANTUM COMP","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C200A","Electrical Engineering and Computer Sciences","Principles and Techniques of Data Science","4","4","-","Explores the data science lifecycle: question formulation, data collection and cleaning, exploratory, analysis, visualization, statistical inference, prediction, and decision-making. Focuses on quantitative critical thinking and key principles and techniques: languages for transforming, querying and analyzing data; algorithms for machine learning methods: regression, classification and clustering; principles of informative visualization; measurement error and prediction; and techniques for scalable data processing. Research term project.","STATC200C PRINC&TECH DATA SCI, DATAC200 PRINC&TECH DATA SCI","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C249A","Electrical Engineering and Computer Sciences","Introduction to Embedded Systems","4","4","-","This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.","ELENGC249A INTRO EMBEDDED","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C267","Electrical Engineering and Computer Sciences","Applications of Parallel Computers","3","4","-","Models for parallel programming.  Overview of parallelism in scientific applications and study of parallel algorithms for linear algebra, particles, meshes, sorting, FFT, graphs, machine learning, etc. Survey of parallel machines and machine structures. Programming shared- and distributed-memory parallel computers, GPUs, and cloud platforms. Parallel programming languages, compilers, libraries and toolboxes. Data partitioning techniques. Techniques for synchronization and load balancing. Detailed study and algorithm/program development of medium sized applications.","ENGINC233 APP OF PARALLEL COM","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","C280","Electrical Engineering and Computer Sciences","Computer Vision","3","3","-","Paradigms for computational vision. Relation to human visual perception. Mathematical techniques for representing and reasoning, with curves, surfaces and volumes. Illumination and reflectance models. Color perception. Image segmentation and aggregation. Methods for bottom-up three dimensional shape recovery: Line drawing analysis, stereo, shading, motion, texture. Use of object models for prediction and recognition.","VISSCIC280 COMPUTER VISION","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C281A","Electrical Engineering and Computer Sciences","Statistical Learning Theory","3","3","-","Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods.","STATC241A STAT LEARN THEORY","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","C281B","Electrical Engineering and Computer Sciences","Advanced Topics in Learning and Decision Making","3","3","-","Recent topics include: Graphical models and approximate inference algorithms. Markov chain Monte Carlo, mean field and probability propagation methods. Model selection and stochastic realization. Bayesian information theoretic and structural risk minimization approaches. Markov decision processes and partially observable Markov decision processes. Reinforcement learning.","STATC241B ADV LEARN & DECISN","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","H195","Electrical Engineering and Computer Sciences","Honors Social Implications of Computer Technology","3","3","-","Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students may lead discussions on additional topics.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","H196A","Electrical Engineering and Computer Sciences","Senior Honors Thesis Research","1","4","-","Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Computing, Data Science, and Society with a major in Computer Science.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","H196B","Electrical Engineering and Computer Sciences","Senior Honors Thesis Research","1","4","-","Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Computing, Data Science, and Society  with a major in Computer Science.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","W10","Electrical Engineering and Computer Sciences","The Beauty and Joy of Computing","4","4","-","This course meets the programming prerequisite for 61A. An introduction to the beauty and joy of computing. The history, social implications, great principles, and future of computing. Beautiful applications that have changed the world. How computing empowers discovery and progress in other fields. Relevance of computing to the student and society will be emphasized. Students will learn the joy of programming a computer using a friendly, graphical language, and will complete a substantial team programming project related to their interests. ","-","Course is not repeatable for credit.","-","-","-","-"
